plotID_x,treeID,Species,N,C,CN,N_mass,C_mass,P,NP,CP,K,Mg,Ca,Na,Fe,Al,Mn,Si,forest,plotID_y,meanWD,predHeight18,predHeight20,DBH18,DBH20,TreeBA,BA per Ha,name
KBPL8,1510,Tabernaemontana Johnstonii,3.43,46.75,13.65,34300,467500,1637.96,20.94068231,285.4160053,16810.44,5253.62,5551.6,26.57,216.37,707.95,2089.68,280.9,Kahuzi,KBPL8,0.5261,14.55210658,15.06067127,25.5,28.98,0.065961065,0.412256656,Taberemonta Johnstonii
KBPL8,1511,Tabernaemontana Johnstonii,3.53,47.1,13.33,35300,471000,1749.44,20.17788549,269.2290104,15523.56,5397.2,5663.63,23.51,209.62,773.83,2194.14,284.06,Kahuzi,KBPL8,0.5261,16.55649786,16.13492716,32.8,33.0,0.08553006,0.534562875,Taberemonta Johnstonii
KBPL8,1512,Tabernaemontana Johnstonii,3.76,44.56,11.86,37600,445600,2104.25,17.86859926,211.7619104,25990.35,5200.77,6806.95,28.96,175.68,693.05,2704.63,216.22,Kahuzi,KBPL8,0.5261,8.350264765,8.681154187,10.8,12.5,0.012271875,0.076699219,Taberemonta Johnstonii
KBPL11,1755,Dombeya Goetzenii,4.25,45.77,10.78,42500,457700,3574.05,11.89127181,128.0620025,24166.42,3587.91,11904.9,29.72,186.23,103.02,71.32,404.16,Kahuzi,KBPL11,0.5,10.73237187,10.44474785,15.4,16.1,0.020358353,0.127239709,Dombeya Goetzenii
KBPL11,1759,Dombeya Goetzenii,3.79,44.67,11.79,37900,446700,3676.26,10.30939052,121.5093601,24207.77,3138.72,16486.81,36.24,215.42,140.93,116.77,414.74,Kahuzi,KBPL11,0.5,11.82841744,12.59756472,17.9,21.37,0.035867404,0.224171273,Dombeya Goetzenii
KBPL11,1764,Maesa Lanceolata,3.29,48.7,14.81,32900,487000,2926.97,11.24029286,166.3836664,24268.99,2272.0,8868.37,27.21,180.75,108.84,71.91,153.54,Kahuzi,KBPL11,0.676,9.293988599,9.660994724,12.5,14.43,0.016353984,0.102212398,Maesa Lanceolata
KBPL11,1765,Neoboutonia Macrocalyx,4.04,45.32,11.21,40400,453200,4156.2,9.720417689,109.0419133,23830.21,4357.12,12494.21,51.21,161.52,98.49,61.06,254.1,Kahuzi,KBPL11,0.33,11.2294426,11.5866738,16.5,18.76,0.027641179,0.172757369,Neoboutonia Macrocalyx
KBPL11,1766,Maesa Lanceolata,3.17,47.25,14.92,31700,472500,3038.71,10.43205834,155.4936141,24702.11,2324.51,8885.9,26.36,301.57,149.88,119.59,225.85,Kahuzi,KBPL11,0.676,10.45066057,11.2180831,14.8,17.87,0.02508072,0.156754501,Maesa Lanceolata
KBPL11,1768,Maesa Lanceolata,3.05,47.49,15.58,30500,474900,2779.31,10.97394677,170.8697482,22597.69,2877.26,11835.53,38.77,236.71,159.17,114.27,232.63,Kahuzi,KBPL11,0.676,12.70140697,13.71854921,20.1,24.59,0.047490633,0.296816454,Maesa Lanceolata
KBPL11,1770,Cassipourea Ruwensorensis,2.14,46.14,21.56,21400,461400,2358.25,9.074525602,195.6535567,9058.0,2221.89,14311.93,40.11,212.56,186.49,12.03,242.64,Kahuzi,KBPL11,0.6504,18.69981762,19.05773032,43.0,47.1,0.174233921,1.088962009,Cassipourea Ruwensorensis
KBPL11,1789,Maesa Lanceolata,3.19,48.28,15.15,31900,482800,2988.06,10.67582311,161.5764074,20846.52,1704.69,6700.32,21.36,166.97,137.85,85.43,157.27,Kahuzi,KBPL11,0.676,10.1610323,10.76607012,14.2,16.82,0.02221994,0.138874624,Maesa Lanceolata
